IRSZ;nev;utotag;ker
1193;Áram;utca;XIX
1022;Aranka;utca;II
1039;Arany;utca;III
1116;Arany Dániel;tér;XI
1029;Arany János;tér;II
1029;Arany János;utca;II
1047;Arany János;utca;IV
1051;Arany János;utca;V
1152;Arany János;utca;XV
1153;Arany János;utca;XV
1154;Arany János;utca;XV
1165;Arany János;utca;XVI
1174;Arany János;utca;XVII
1188;Arany János;utca;XVIII
1191;Arany János;utca;XIX
1214;Arany János;utca;XXI
1221;Arany János;utca;XXII
1239;Arany János;utca;XXIII
1031;Aranyalma;utca;III
1029;Aranybulla;utca;II
1163;Aranycsillag;utca;XVI
1184;Aranyeső;utca;XVIII
1162;Aranyfa;utca;XVI
1221;Aranyfácán;utca;XXII
1224;Aranyforint;utca;XXII
1165;Aranyfürt;utca;XVI
1011;Aranyhal;utca;I
1171;Aranyhegy;utca;XVII
1031;Aranyhegyi;út;III
1224;Aranyhegyi;utca;XXII
1031;Aranyhegyi;lejtő;III
1238;Aranykalász;utca;XXIII
1052;Aranykéz;utca;V
1174;Aranykoszorú;köz;XVII
1172;Aranykút;utca;XVII
1173;Aranylúd;utca;XVII
1031;Aranyos;utca;III
1037;Aranypatak;utca;III
1224;Aranytallér;utca;XXII
1224;Aranyvessző;utca;XXII
1098;Aranyvirág;sétány;IX
1037;Aranyvölgy;utca;III
1138;Arasz;utca;XIII
1117;Árasztó;út;XI
1182;Aratás;utca;XVIII
1121;Arató;köz;XII
1121;Arató;utca;XII
1222;Arató;utca;XXII
1031;Arató Emil;tér;III
1133;Árboc;utca;XIII
1157;Árendás;köz;XV
1147;Argentina;tér;XIV
1171;Árkádos;utca;XVII
1222;Árkász;utca;XXII
1122;Árkay Aladár;sétány;XII
1122;Árkay Bertalan;sétány;XII
1108;Árkos;utca;X
1039;Ármány;utca;III
1112;Árnika;utca;XI
1121;Árnyas;út;XII
1213;Árnyas;utca;XXI
1038;Árok;utca;III
1151;Árokhát;út;XV
1112;Árokpart;sor;XI
1172;Ároktő;utca;XVII
1223;Áron;utca;XXII
1107;Árpa;utca;X
1028;Árpád;utca;II
1029;Árpád;tér;II
1039;Árpád;utca;III
1041;Árpád;út;IV
1042;Árpád;út;IV
1045;Árpád;út;IV
1161;Árpád;utca;XVI
1183;Árpád;utca;XVIII
1195;Árpád;utca;XIX
1196;Árpád;utca;XIX
1215;Árpád;utca;XXI
1222;Árpád;utca;XXII
1033;Árpád-házi Szent Erzsébet;tér;III
1171;Árpád-házi Szent Erzsébet;park;XVII
1174;Árpád fejedelem;utca;XVII
1036;Árpád fejedelem;útja;III
1023;Árpád fejedelem;útja;II
1162;Árpádföldi;tér;XVI
1162;Árpádföldi;út;XVI
1222;Ártér;utca;XXII
1191;Artúr;utca;XIX
1191;Áruház;köz;XIX
1138;Árva;utca;XIII
1022;Árvácska;utca;II
1038;Árvácska;utca;III
1185;Árvai;utca;XVIII
1213;Árvalányhaj;utca;XXI
1155;Árvavár;utca;XV
1158;Árvavár;utca;XV
1237;Árvíz;utca;XXIII
1075;Asbóth;utca;VII
1044;Aschner Lipót;tér;IV
1039;Ásó;utca;III
1112;Ásólúd;utca;XI
1173;Ásvány;utca;XVII
1223;Aszály;utca;XXII
1097;Aszódi;utca;IX
1105;Ászok;utca;X
1223;Ászokhordó;utca;XXII
1181;Aszparágusz;utca;XVIII
1162;Asztag;utca;XVI
1164;Asztalos;utca;XVI
1211;Asztalosipar;utca;XXI
1087;Asztalos Sándor;út;VIII
1205;Asztalos Sándor;utca;XX
1146;Asztana;utca;XIV
1028;Aszú;utca;II
1028;Aszú;köz;II
1045;Athéni;utca;IV
1224;Átjáró;utca;XXII
1165;Atlasz;utca;XVI
1201;Atléta;utca;XX
1201;Átlós;utca;XX
1204;Átlós;utca;XX
1213;Átlós;utca;XXI
1012;Attila;út;I
1013;Attila;út;I
1028;Attila;utca;II
1039;Attila;utca;III
1047;Attila;utca;IV
1152;Attila;utca;XV
1162;Attila;utca;XVI
1183;Attila;utca;XVIII
1191;Attila;utca;XIX
1201;Attila;utca;XX
1222;Attila;utca;XXII
1013;Attila;köz;I
1045;Aulich;utca;IV
1054;Aulich;utca;V
1161;Aulich;utca;XVI
1162;Aulich;utca;XVI
1193;Aulich;utca;XIX
1202;Aulich;utca;XX
1154;Aulich Lajos;utca;XV
1161;Aurél;utca;XVI
1084;Auróra;utca;VIII
1016;Avar;utca;I
1118;Avar;utca;XI
1123;Avar;utca;XII
1183;Avar;utca;XVIII
1222;Avar;utca;XXII
1162;Avarszállás;utca;XVI
1164;Avas;utca;XVI
1026;Avedik;utca;II
1025;Baba;utca;II
1131;Baba;tér;XIII
1201;Baba;utca;XX
1204;Baba;utca;XX
1182;Babarc;tér;XVIII
1223;Babarózsa;köz;XXII
1131;Babér;utca;XIII
1222;Babér;köz;XXII
1224;Babérfűz;utca;XXII
1183;Babits Mihály;utca;XVIII
1014;Babits Mihály;sétány;I
1163;Bábos;utca;XVI
1161;Bács;utca;XVI
1119;Bácsalmás;utca;XI
1153;Bácska;utca;XV
1202;Bácska;tér;XX
1202;Bácska;utca;XX
1145;Bácskai;utca;XIV
1165;Bácskai;utca;XVI
1084;Bacsó Béla;utca;VIII
1029;Badacsony;utca;II
1222;Badacsony;utca;XXII
1113;Badacsonyi;utca;XI
1213;Badacsonyi;út;XXI
1205;Bádogos;utca;XX
1188;Bagamér;utca;XVIII
1044;Bagaria;utca;IV
1213;Bagoly;utca;XXI
1148;Bagolyvár;utca;XIV
1048;Bagolyvár;köz;IV
1039;Bajáki Elemér;utca;III
1141;Bajcs;utca;XIV
1051;Bajcsy-Zsilinszky;út;V
1054;Bajcsy-Zsilinszky;út;V
1055;Bajcsy-Zsilinszky;út;V
1065;Bajcsy-Zsilinszky;út;VI
1185;Bajcsy-Zsilinszky;út;XVIII
1212;Bajcsy-Zsilinszky;út;XXI
1215;Bajcsy-Zsilinszky;út;XXI
1223;Bajcsy-Zsilinszky;utca;XXII
1065;Bajcsy-Zsilinszky;köz;VI
1118;Bajmóci;utca;XI
1029;Bajnok;utca;II
1063;Bajnok;utca;VI
1155;Bajor;utca;XV
1095;Bajor Gizi;park;IX
1039;Bajtárs;utca;III
1039;Bajtárs;köz;III
1027;Bajvívó;utca;II
1062;Bajza;utca;VI
1071;Bajza;utca;VII
1174;Bajza;utca;XVII
1184;Bajza;utca;XVIII
1204;Bajza;utca;XX
1192;Bajza;köz;XIX
1204;Bajza;köz;XX
1046;Bajza József;utca;IV
1024;Baka;utca;II
1173;Bakancsos;utca;XVII
1118;Bakator;utca;XI
1092;Bakáts;tér;IX
1093;Bakáts;utca;IX
1027;Bakfark Bálint;utca;II
1112;Bakfű;utca;XI
1118;Bakony;utca;XI
1185;Bakonybánk;utca;XVIII
1213;Bakonyi;út;XXI
1154;Baksay Sándor;utca;XV
1174;Bakter;utca;XVII
1083;Balassa;utca;VIII
1205;Balassa;utca;XX
1192;Balassa;köz;XIX
1183;Balassa Bálint;utca;XVIII
1173;Balassagyarmat;utca;XVII
1055;Balassi Bálint;utca;V
1055;Balaton;utca;V
1223;Balatoni;út;XXII
1112;Balatoni;út;XI
1147;Balázs;utca;XIV
1142;Balázs;park;XIV
1094;Balázs Béla;utca;IX
1118;Bali Sándor;utca;XI
1223;Balin;utca;XXII
1039;Bálint György;utca;III
1107;Balkán;utca;X
1163;Ballada;utca;XVI
1115;Ballagi Mór;utca;XI
1151;Balló Mátyás;utca;XV
1118;Balogh Tihamér;utca;XI
1114;Balogh;lejtő;XI
1026;Balogh Ádám;utca;II
1026;Balogh Ádám;köz;II
1182;Balogh Géza;utca;XVIII
1022;Balogvár;utca;II
1222;Balta;utca;XXII
1014;Balta;köz;I
1222;Bálvány;utca;XXII
1182;Bálványos;utca;XVIII
1136;Balzac;utca;XIII
1131;Balzsam;utca;XIII
1138;Balzsam;utca;XIII
1123;Bán;utca;XII
1117;Bánát;utca;XI
1182;Bánfa;utca;XVIII
1182;Bánffyhunyad;utca;XVIII
1116;Bánhida;utca;XI
1054;Bank;utca;V
1158;Bánk;utca;XV
1115;Bánk bán;utca;XI
1221;Bánk bán;utca;XXII
1213;Banka;utca;XXI
1148;Bánki Donát;utca;XIV
1148;Bánki Donát;park;XIV
1224;Bankó;utca;XXII
1154;Bánkút;utca;XV
1171;Bánréve;utca;XVII
1102;Bánya;utca;X
1105;Bánya;utca;X
1164;Bánya;tér;XVI
1214;Bánya;utca;XXI
1164;Bánya;köz;XVI
1174;Bánya;part;XVII
1163;Bányai Elemér;utca;XVI
1188;Bányai Júlia;utca;XVIII
1225;Bányalég;utca;XXII
1164;Bányász;utca;XVI
1205;Bányász;utca;XX
1108;Bányató;utca;X
1107;Barabás;utca;X
1152;Barack;utca;XV
1112;Barackfa;utca;XI
1214;Barackfa;utca;XXI
1112;Barackmag;utca;XI
1224;Barackos;út;XXII
1112;Barackos;köz;XI
1224;Barackvirág;utca;XXII
1171;Baracska;utca;XVII
1112;Baradla;köz;XI
1112;Baradla;utca;XI
1222;Bárány;utca;XXII
1117;Baranyai;tér;XI
1117;Baranyai;utca;XI
1074;Barát;utca;VII
1223;Barátcinege;utca;XXII
1173;Barátka;utca;XVII
1039;Barátpatak;utca;III
1164;Barátság;utca;XVI
1116;Barázda;utca;XI
1116;Barázda;köz;XI
1165;Barbara;utca;XVI
1202;Barca;köz;XX
